iter,clap,score,lead_cutoff_hz,lead_gain,pad_cutoff_slider,pad_gain,hihat_gain,bass_cutoff_g1,reverb_room,reverb_wet,sidechain_depth,gain_kick,gain_bass,gain_pluck,kick_decay_s,kick_pitch_floor,hihat_decay_s
74,0.53398,0.49289,5394.33318,0.37972,0.72171,3.50283,1.71628,0.72133,0.50205,0.26093,0.30005,0.79028,0.18411,0.04704,0.36768,67.07392,0.00571
75,0.50935,0.50935,6825.85386,0.37151,0.73623,1.9482,2.00391,0.58478,0.79279,0.3464,0.37461,0.71216,0.20644,0.01392,0.47867,69.8832,0.00502
76,0.51098,0.51098,1537.0298,0.34063,0.64546,4.52965,1.70168,0.61938,0.54851,0.44998,0.42358,0.734,0.26324,0.10898,0.23546,53.4993,0.04679
77,0.60801,0.5489,3617.6591,0.14329,0.84652,4.2472,0.86859,0.65368,0.74509,0.25976,0.51118,0.73464,0.27461,0.01252,0.44997,52.15135,0.00506
78,0.45246,0.45246,4085.92051,0.16711,0.8875,4.00782,1.24728,0.63069,0.66764,0.30462,0.62,0.73767,0.25712,0.20357,0.46263,42.20489,0.02859
79,0.61877,0.56014,7403.3342,0.10007,0.84683,4.64495,0.75236,0.57462,0.6256,0.33889,0.31084,0.7991,0.2346,0.01598,0.44138,66.69754,0.00536
80,0.5302,0.5302,7305.68633,0.36152,0.86122,3.81435,1.32166,0.67716,0.55643,0.38684,0.44343,0.72226,0.19209,0.09567,0.36092,55.92273,0.02667
81,0.58308,0.55137,11329.20062,0.08969,0.71883,4.47069,1.58878,0.62694,0.35285,0.28548,0.65838,0.75905,0.19203,0.02073,0.47948,52.8147,0.00768
82,0.51908,0.51908,7387.13061,0.31191,0.80237,2.71204,1.05581,0.28472,0.79335,0.18559,0.42803,0.65645,0.16781,0.04781,0.45322,57.43662,0.04308
83,0.54558,0.54558,3723.83164,0.31612,0.78017,4.55514,0.93544,0.61018,0.42077,0.41376,0.57277,0.76976,0.35712,0.00525,0.49548,63.09862,0.09695
84,0.46133,0.46133,7979.77575,0.15235,0.74447,3.60778,0.81076,0.6823,0.64568,0.30019,0.3406,0.79815,0.243,0.13671,0.38555,74.73364,0.06475
85,0.56504,0.52366,8468.05015,0.05372,0.84847,4.99972,0.66374,0.55664,0.64747,0.26686,0.31389,0.76736,0.27494,0.03966,0.37944,67.82952,0.01986
86,0.61301,0.55444,4007.29078,0.05488,0.8941,4.84046,0.69598,0.48567,0.84716,0.24692,0.35875,0.66279,0.22638,0.08646,0.49608,48.02241,0.00501
87,0.61437,0.57545,8885.4633,0.10241,0.8186,4.30731,0.67644,0.57912,0.42574,0.42659,0.37349,0.67565,0.20437,0.03952,0.33743,57.38161,0.01104
88,0.46487,0.46487,9329.38532,0.06087,0.5277,4.98753,1.95105,0.64258,0.72107,0.35774,0.41716,0.74055,0.19659,0.10182,0.34943,70.42909,0.02179
89,0.60731,0.56562,6162.22206,0.05278,0.86496,4.43367,0.90672,0.67195,0.692,0.39849,0.4137,0.65843,0.21757,0.03382,0.42567,63.83792,0.00586
90,0.525,0.47709,9911.70658,0.19755,0.79053,4.88573,0.69447,0.5333,0.66607,0.3683,0.33771,0.7161,0.4195,0.13537,0.49976,59.92142,0.03451
91,0.62741,0.52086,3130.30716,0.05261,0.74749,4.17122,0.3348,0.53922,0.60322,0.34681,0.3881,0.62122,0.15283,0.10044,0.47209,44.85718,0.00586
92,0.60272,0.54075,5544.28431,0.07928,0.87351,4.53277,0.47511,0.3901,0.42422,0.28788,0.33503,0.72207,0.25063,0.0249,0.39298,49.61216,0.00675
93,0.55752,0.50181,9476.8148,0.05041,0.84302,3.71861,0.28051,0.67778,0.52417,0.34718,0.30313,0.57139,0.1826,0.01659,0.30417,60.51912,0.02369
94,0.55363,0.53556,9674.78038,0.17211,0.89353,4.20249,0.62337,0.4125,0.70983,0.43805,0.34766,0.54962,0.20482,0.00827,0.48606,67.62828,0.0284
95,0.60479,0.59144,6825.30969,0.06244,0.884,4.71871,1.64602,0.60544,0.32194,0.28158,0.30459,0.79358,0.24275,0.02862,0.26206,50.33583,0.00553
96,0.62873,0.5498,8956.73851,0.12106,0.83229,3.53469,0.14358,0.58574,0.55581,0.32797,0.43722,0.73458,0.17902,0.00703,0.35138,74.44853,0.01135
97,0.57019,0.51011,4200.76403,0.09231,0.79716,4.79437,0.38339,0.6191,0.67636,0.40713,0.33185,0.69702,0.28369,0.0126,0.45069,52.37842,0.04356
98,0.55091,0.55091,6462.36859,0.05213,0.8949,4.98847,1.75777,0.7106,0.48105,0.35558,0.30317,0.62078,0.22449,0.03504,0.30173,61.33397,0.00604
99,0.49425,0.44506,1622.19548,0.23602,0.76413,4.99981,1.21694,0.62205,0.37612,0.22185,0.46873,0.77284,0.15938,0.26816,0.37185,68.51606,0.01474
100,0.55038,0.55038,7627.36293,0.05211,0.73542,4.60859,2.27515,0.71177,0.55514,0.35116,0.46966,0.74064,0.17137,0.00507,0.37059,53.93468,0.03459
101,0.55694,0.55694,10252.38709,0.0611,0.80699,4.91629,1.94745,0.61373,0.82401,0.28022,0.35144,0.76144,0.23407,0.01841,0.28801,51.86835,0.0128
102,0.44392,0.44392,7936.34892,0.11912,0.84871,2.6152,1.93293,0.61282,0.27684,0.38282,0.30002,0.63722,0.16828,0.09465,0.38219,58.65179,0.01661
103,0.57003,0.5652,4545.7527,0.0522,0.77526,3.97422,2.11112,0.65255,0.44857,0.31601,0.3007,0.52565,0.27565,0.0463,0.40423,42.39723,0.00555
104,0.58983,0.58983,4693.96063,0.06513,0.86654,4.41002,1.84459,0.73677,0.44887,0.37857,0.36478,0.74696,0.23439,0.08733,0.40762,56.93265,0.02478
105,0.57008,0.57008,5961.98328,0.13278,0.85059,4.87265,2.1455,0.58664,0.5583,0.29765,0.47849,0.79983,0.16852,0.03174,0.28833,64.61349,0.0463
106,0.59119,0.59119,7310.31617,0.13415,0.87864,3.90004,1.84387,0.72736,0.43853,0.43879,0.35716,0.78953,0.36433,0.01947,0.37325,58.11337,0.00752
107,0.5437,0.5437,6186.34042,0.05891,0.89975,4.85039,1.67955,0.59469,0.46204,0.30669,0.38283,0.59911,0.1834,0.15043,0.40587,73.78127,0.05737
108,0.58486,0.57306,2534.54374,0.19399,0.88359,4.92949,1.94136,0.64862,0.34822,0.35495,0.30839,0.60028,0.15477,0.11424,0.39515,51.68039,0.00552
109,0.5899,0.5899,3002.25762,0.10485,0.88372,4.85778,2.76758,0.63946,0.71707,0.28097,0.32069,0.76109,0.24061,0.01235,0.30227,61.94369,0.00696
110,0.48939,0.48939,6547.45531,0.16196,0.88179,4.05532,1.3772,0.65767,0.35218,0.32486,0.31648,0.69745,0.3109,0.18978,0.45345,44.60896,0.03699
111,0.56309,0.56309,4245.52498,0.05016,0.77089,4.95562,1.50873,0.74997,0.40608,0.28574,0.36207,0.79041,0.32097,0.01648,0.27195,47.31872,0.02707
